quarterly profits at us media giant
aside for legal reserves which it
for legal reserves which it previously
legal reserves which it previously set
it intends to adjust the way
intends to adjust the way it
to adjust the way it accounts
adjust the way it accounts for
the way it accounts for a
way it accounts for a deal
it accounts for a deal with
accounts for a deal with german
for a deal with german music
a deal with german music publisher
deal with german music publisher bertelsmanns
with german music publisher bertelsmanns purchase
german music publisher bertelsmanns purchase of
music publisher bertelsmanns purchase of a
publisher bertelsmanns purchase of a stake
bertelsmanns purchase of a stake in
purchase of a stake in aol
of a stake in aol europe
a stake in aol europe which
stake in aol europe which it
in aol europe which it had
aol europe which it had reported
europe which it had reported as
it will now book the sale
will now book the sale of
now book the sale of its
book the sale of its stake
the sale of its stake in
sale of its stake in aol
of its stake in aol europe
its stake in aol europe as
stake in aol europe as a
in aol europe as a loss
aol europe as a loss on
europe as a loss on the
as a loss on the value
a loss on the value of
the dollar has hit its highest
dollar has hit its highest level
has hit its highest level against
hit its highest level against the
its highest level against the euro
highest level against the euro in
level against the euro in almost
against the euro in almost three
the euro in almost three months
euro in almost three months after
in almost three months after the
almost three months after the federal
three months after the federal reserve
months after the federal reserve head
after the federal reserve head said
the federal reserve head said the
federal reserve head said the us
reserve head said the us trade
head said the us trade deficit
said the us trade deficit is
the us trade deficit is set
and alan greenspan highlighted the us
alan greenspan highlighted the us governments
greenspan highlighted the us governments willingness
highlighted the us governments willingness to
the us governments willingness to curb
us governments willingness to curb spending
governments willingness to curb spending and
willingness to curb spending and rising
to curb spending and rising household
curb spending and rising household savings
spending and rising household savings as
and rising household savings as factors
rising household savings as factors which
household savings as factors which may
savings as factors which may help
as factors which may help to
in late trading in new york
late trading in new york the
trading in new york the dollar
in new york the dollar reached
new york the dollar reached thisisanumber
york the dollar reached thisisanumber against
the dollar reached thisisanumber against the
dollar reached thisisanumber against the euro
reached thisisanumber against the euro from
thisisanumber against the euro from thisisanumber
market concerns about the deficit has
concerns about the deficit has hit
about the deficit has hit the
the deficit has hit the greenback
deficit has hit the greenback in
on friday federal reserve chairman mr
friday federal reserve chairman mr greenspans
federal reserve chairman mr greenspans speech
reserve chairman mr greenspans speech in
chairman mr greenspans speech in london
mr greenspans speech in london ahead
greenspans speech in london ahead of
speech in london ahead of the
in london ahead of the meeting
london ahead of the meeting of
ahead of the meeting of thisisanumber
of the meeting of thisisanumber finance
the meeting of thisisanumber finance ministers
meeting of thisisanumber finance ministers sent
of thisisanumber finance ministers sent the
thisisanumber finance ministers sent the dollar
finance ministers sent the dollar higher
ministers sent the dollar higher after
sent the dollar higher after it
the dollar higher after it had
dollar higher after it had earlier
higher after it had earlier tumbled
after it had earlier tumbled on
it had earlier tumbled on the
had earlier tumbled on the back
earlier tumbled on the back of
tumbled on the back of worsethanexpected
on the back of worsethanexpected us
i think the chairmans taking a
think the chairmans taking a much
the chairmans taking a much more
chairmans taking a much more sanguine
taking a much more sanguine view
a much more sanguine view on
much more sanguine view on the
more sanguine view on the current
sanguine view on the current account
view on the current account deficit
on the current account deficit than
the current account deficit than hes
current account deficit than hes taken
account deficit than hes taken for
deficit than hes taken for some
than hes taken for some time
hes taken for some time said
taken for some time said robert
for some time said robert sinche
some time said robert sinche head
time said robert sinche head of
said robert sinche head of currency
robert sinche head of currency strategy
sinche head of currency strategy at
head of currency strategy at bank
of currency strategy at bank of
currency strategy at bank of america
strategy at bank of america in
hes taking a longerterm view laying
taking a longerterm view laying out
a longerterm view laying out a
longerterm view laying out a set
view laying out a set of
laying out a set of conditions
out a set of conditions under
a set of conditions under which
set of conditions under which the
of conditions under which the current
conditions under which the current account
under which the current account deficit
which the current account deficit can
the current account deficit can improve
current account deficit can improve this
account deficit can improve this year
deficit can improve this year and
can improve this year and nextworries
improve this year and nextworries about
this year and nextworries about the
year and nextworries about the deficit
and nextworries about the deficit concerns
nextworries about the deficit concerns about
about the deficit concerns about china
the deficit concerns about china do
chinas currency remains pegged to the
currency remains pegged to the dollar
remains pegged to the dollar and
pegged to the dollar and the
to the dollar and the us
the dollar and the us currencys
dollar and the us currencys sharp
and the us currencys sharp falls
the us currencys sharp falls in
us currencys sharp falls in recent
currencys sharp falls in recent months
sharp falls in recent months have
falls in recent months have therefore
in recent months have therefore made
recent months have therefore made chinese
months have therefore made chinese export
have therefore made chinese export prices
but calls for a shift in
calls for a shift in beijings
for a shift in beijings policy
a shift in beijings policy have
shift in beijings policy have fallen
in beijings policy have fallen on
beijings policy have fallen on deaf
policy have fallen on deaf ears
have fallen on deaf ears despite
fallen on deaf ears despite recent
on deaf ears despite recent comments
deaf ears despite recent comments in
ears despite recent comments in a
despite recent comments in a major
recent comments in a major chinese
comments in a major chinese newspaper
in a major chinese newspaper that
a major chinese newspaper that the
major chinese newspaper that the time
chinese newspaper that the time is
newspaper that the time is ripe
that the time is ripe for
the time is ripe for a
time is ripe for a loosening
is ripe for a loosening of
the thisisanumber meeting is thought unlikely
thisisanumber meeting is thought unlikely to
meeting is thought unlikely to produce
is thought unlikely to produce any
thought unlikely to produce any meaningful
unlikely to produce any meaningful movement
to produce any meaningful movement in
in the meantime the us federal
the meantime the us federal reserves
meantime the us federal reserves decision
the us federal reserves decision on
us federal reserves decision on thisisanumber
federal reserves decision on thisisanumber february
reserves decision on thisisanumber february to
decision on thisisanumber february to boost
on thisisanumber february to boost interest
thisisanumber february to boost interest rates
february to boost interest rates by
to boost interest rates by a
boost interest rates by a quarter
interest rates by a quarter of
rates by a quarter of a
by a quarter of a point
a quarter of a point the
quarter of a point the sixth
of a point the sixth such
a point the sixth such move
point the sixth such move in
the sixth such move in as
sixth such move in as many
such move in as many months
move in as many months has
in as many months has opened
as many months has opened up
many months has opened up a
months has opened up a differential
has opened up a differential with
the halfpoint window some believe could
halfpoint window some believe could be
window some believe could be enough
some believe could be enough to
believe could be enough to keep
could be enough to keep us
be enough to keep us assets
enough to keep us assets looking
to keep us assets looking more
keep us assets looking more attractive
us assets looking more attractive and
assets looking more attractive and could
looking more attractive and could help
more attractive and could help prop
attractive and could help prop up
the recent falls have partly been
recent falls have partly been the
falls have partly been the result
have partly been the result of
partly been the result of big
been the result of big budget
the result of big budget deficits
result of big budget deficits as
of big budget deficits as well
big budget deficits as well as
budget deficits as well as the
deficits as well as the uss
as well as the uss yawning
well as the uss yawning current
as the uss yawning current account
the uss yawning current account gap
uss yawning current account gap both
yawning current account gap both of
current account gap both of which
account gap both of which need
gap both of which need to
both of which need to be
of which need to be funded
which need to be funded by
need to be funded by the
to be funded by the buying
be funded by the buying of
funded by the buying of us
by the buying of us bonds
the buying of us bonds and
buying of us bonds and assets
of us bonds and assets by
us bonds and assets by foreign
bonds and assets by foreign firms
the white house will announce its
white house will announce its budget
house will announce its budget on
will announce its budget on monday
announce its budget on monday and
its budget on monday and many
budget on monday and many commentators
on monday and many commentators believe
monday and many commentators believe the
and many commentators believe the deficit
many commentators believe the deficit will
commentators believe the deficit will remain
believe the deficit will remain at
the deficit will remain at close
deficit will remain at close to
will remain at close to half
remain at close to half a
the owners of embattled russian oil
owners of embattled russian oil giant
of embattled russian oil giant yukos
embattled russian oil giant yukos are
russian oil giant yukos are to
oil giant yukos are to ask
giant yukos are to ask the
yukos are to ask the buyer
are to ask the buyer of
to ask the buyer of its
ask the buyer of its former
the buyer of its former production
buyer of its former production unit
of its former production unit to
its former production unit to pay
former production unit to pay back
production unit to pay back a
unit to pay back a thisisanumber
stateowned rosneft bought the yugansk unit
rosneft bought the yugansk unit for
bought the yugansk unit for thisisanumber
the yugansk unit for thisisanumber in
yugansk unit for thisisanumber in a
unit for thisisanumber in a sale
for thisisanumber in a sale forced
thisisanumber in a sale forced by
in a sale forced by russia
a sale forced by russia to
sale forced by russia to part
forced by russia to part settle
by russia to part settle a
russia to part settle a thisisanumber
to part settle a thisisanumber tax
part settle a thisisanumber tax claim
yukos owner menatep group says it
owner menatep group says it will
menatep group says it will ask
group says it will ask rosneft
says it will ask rosneft to
it will ask rosneft to repay
will ask rosneft to repay a
ask rosneft to repay a loan
rosneft to repay a loan that
to repay a loan that yugansk
repay a loan that yugansk had
a loan that yugansk had secured
loan that yugansk had secured on
rosneft already faces a similar thisisanumber
already faces a similar thisisanumber repayment
faces a similar thisisanumber repayment demand
a similar thisisanumber repayment demand from
legal experts said rosnefts purchase of
experts said rosnefts purchase of yugansk
said rosnefts purchase of yugansk would
rosnefts purchase of yugansk would include
the pledged assets are with rosneft
pledged assets are with rosneft so
assets are with rosneft so it
are with rosneft so it will
with rosneft so it will have
rosneft so it will have to
so it will have to pay
it will have to pay real
will have to pay real money
have to pay real money to
to pay real money to the
pay real money to the creditors
real money to the creditors to
money to the creditors to avoid
to the creditors to avoid seizure
the creditors to avoid seizure of
creditors to avoid seizure of yugansk
to avoid seizure of yugansk assets
avoid seizure of yugansk assets said
seizure of yugansk assets said moscowbased
of yugansk assets said moscowbased us
yugansk assets said moscowbased us lawyer
assets said moscowbased us lawyer jamie
said moscowbased us lawyer jamie firestone
moscowbased us lawyer jamie firestone who
us lawyer jamie firestone who is
lawyer jamie firestone who is not
jamie firestone who is not connected
firestone who is not connected to
menatep groups managing director tim osborne
groups managing director tim osborne told
managing director tim osborne told the
director tim osborne told the reuters
tim osborne told the reuters news
osborne told the reuters news agency
told the reuters news agency if
the reuters news agency if they
reuters news agency if they default
news agency if they default we
agency if they default we will
if they default we will fight
they default we will fight them
default we will fight them where
we will fight them where the
will fight them where the rule
fight them where the rule of
them where the rule of law
where the rule of law exists
the rule of law exists under
rule of law exists under the
of law exists under the international
law exists under the international arbitration
exists under the international arbitration clauses
under the international arbitration clauses of
the international arbitration clauses of the
international arbitration clauses of the creditrosneft
arbitration clauses of the creditrosneft officials
clauses of the creditrosneft officials were
of the creditrosneft officials were unavailable
but the company has said it
the company has said it intends
company has said it intends to
has said it intends to take
said it intends to take action
it intends to take action against
intends to take action against menatep
to take action against menatep to
take action against menatep to recover
action against menatep to recover some
against menatep to recover some of
menatep to recover some of the
to recover some of the tax
recover some of the tax claims
some of the tax claims and
of the tax claims and debts
the tax claims and debts owed
yukos had filed for bankruptcy protection
had filed for bankruptcy protection in
filed for bankruptcy protection in a
for bankruptcy protection in a us
bankruptcy protection in a us court
protection in a us court in
in a us court in an
a us court in an attempt
us court in an attempt to
court in an attempt to prevent
in an attempt to prevent the
an attempt to prevent the forced
attempt to prevent the forced sale
to prevent the forced sale of
prevent the forced sale of its
the forced sale of its main
the sale went ahead in december
sale went ahead in december and
went ahead in december and yugansk
ahead in december and yugansk was
in december and yugansk was sold
december and yugansk was sold to
and yugansk was sold to a
yugansk was sold to a littleknown
was sold to a littleknown shell
sold to a littleknown shell company
to a littleknown shell company which
a littleknown shell company which in
littleknown shell company which in turn
shell company which in turn was
company which in turn was bought
yukos claims its downfall was punishment
claims its downfall was punishment for
its downfall was punishment for the
downfall was punishment for the political
was punishment for the political ambitions
punishment for the political ambitions of
for the political ambitions of its
the political ambitions of its founder
political ambitions of its founder mikhail
ambitions of its founder mikhail khodorkovsky
of its founder mikhail khodorkovsky and
its founder mikhail khodorkovsky and has
founder mikhail khodorkovsky and has vowed
mikhail khodorkovsky and has vowed to
khodorkovsky and has vowed to sue
and has vowed to sue any
has vowed to sue any participant
vowed to sue any participant in
british airways has blamed high fuel
airways has blamed high fuel prices
has blamed high fuel prices for
blamed high fuel prices for a
high fuel prices for a thisisanumber
fuel prices for a thisisanumber drop
reporting its results for the three
its results for the three months
results for the three months to
for the three months to thisisanumber
the three months to thisisanumber december
three months to thisisanumber december thisisanumber
months to thisisanumber december thisisanumber the
to thisisanumber december thisisanumber the airline
thisisanumber december thisisanumber the airline made
december thisisanumber the airline made a
thisisanumber the airline made a pretax
the airline made a pretax profit
airline made a pretax profit of
made a pretax profit of thisisanumber
a pretax profit of thisisanumber thisisanumber
pretax profit of thisisanumber thisisanumber compared
profit of thisisanumber thisisanumber compared with
of thisisanumber thisisanumber compared with thisisanumber
thisisanumber thisisanumber compared with thisisanumber a
rod eddington bas chief executive said
eddington bas chief executive said the
bas chief executive said the results
chief executive said the results were
executive said the results were respectable
said the results were respectable in
the results were respectable in a
results were respectable in a third
were respectable in a third quarter
respectable in a third quarter when
in a third quarter when fuel
a third quarter when fuel costs
third quarter when fuel costs rose
quarter when fuel costs rose by
when fuel costs rose by thisisanumber
bas profits were still better than
profits were still better than market
were still better than market expectation
still better than market expectation of
better than market expectation of thisisanumber
than market expectation of thisisanumber and
market expectation of thisisanumber and it
expectation of thisisanumber and it expects
of thisisanumber and it expects a
thisisanumber and it expects a rise
and it expects a rise in
to help offset the increased price
help offset the increased price of
offset the increased price of aviation
the increased price of aviation fuel
increased price of aviation fuel ba
price of aviation fuel ba last
of aviation fuel ba last year
aviation fuel ba last year introduced
fuel ba last year introduced a
ba last year introduced a fuel
last year introduced a fuel surcharge
in october it increased this from
october it increased this from thisisanumber
it increased this from thisisanumber to
increased this from thisisanumber to thisisanumber
this from thisisanumber to thisisanumber oneway
from thisisanumber to thisisanumber oneway for
thisisanumber to thisisanumber oneway for all
to thisisanumber oneway for all longhaul
thisisanumber oneway for all longhaul flights
oneway for all longhaul flights while
for all longhaul flights while the
all longhaul flights while the shorthaul
longhaul flights while the shorthaul surcharge
flights while the shorthaul surcharge was
while the shorthaul surcharge was raised
the shorthaul surcharge was raised from
shorthaul surcharge was raised from thisisanumber
surcharge was raised from thisisanumber to
was raised from thisisanumber to thisisanumber
yet aviation analyst mike powell of
aviation analyst mike powell of dresdner
analyst mike powell of dresdner kleinwort
mike powell of dresdner kleinwort wasserstein
powell of dresdner kleinwort wasserstein says
of dresdner kleinwort wasserstein says bas
dresdner kleinwort wasserstein says bas estimated
kleinwort wasserstein says bas estimated annual
wasserstein says bas estimated annual surcharge
says bas estimated annual surcharge revenues
bas estimated annual surcharge revenues thisisanumber
estimated annual surcharge revenues thisisanumber will
annual surcharge revenues thisisanumber will still
surcharge revenues thisisanumber will still be
revenues thisisanumber will still be way
thisisanumber will still be way short
will still be way short of
still be way short of its
be way short of its additional
way short of its additional fuel
short of its additional fuel costs
of its additional fuel costs a
its additional fuel costs a predicted
turnover for the quarter was up
for the quarter was up thisisanumber
the quarter was up thisisanumber to
quarter was up thisisanumber to thisisanumber
was up thisisanumber to thisisanumber further
up thisisanumber to thisisanumber further benefiting
thisisanumber to thisisanumber further benefiting from
to thisisanumber further benefiting from a
thisisanumber further benefiting from a rise
further benefiting from a rise in
looking ahead to its full year
ahead to its full year results
to its full year results to
its full year results to march
full year results to march thisisanumber
year results to march thisisanumber ba
results to march thisisanumber ba warned
to march thisisanumber ba warned that
march thisisanumber ba warned that yields
thisisanumber ba warned that yields average
ba warned that yields average revenues
warned that yields average revenues per
that yields average revenues per passenger
yields average revenues per passenger were
average revenues per passenger were expected
revenues per passenger were expected to
per passenger were expected to decline
passenger were expected to decline as
were expected to decline as it
expected to decline as it continues
to decline as it continues to
decline as it continues to lower
as it continues to lower prices
it continues to lower prices in
continues to lower prices in the
to lower prices in the face
lower prices in the face of
prices in the face of competition
in the face of competition from
however it said sales would be
it said sales would be better
said sales would be better than
for the year to march thisisanumber
the year to march thisisanumber the
year to march thisisanumber the total
to march thisisanumber the total revenue
march thisisanumber the total revenue outlook
thisisanumber the total revenue outlook is
the total revenue outlook is slightly
total revenue outlook is slightly better
revenue outlook is slightly better than
outlook is slightly better than previous
is slightly better than previous guidance
slightly better than previous guidance with
better than previous guidance with a
than previous guidance with a thisisanumber
previous guidance with a thisisanumber to
guidance with a thisisanumber to thisisanumber
with a thisisanumber to thisisanumber improvement
a thisisanumber to thisisanumber improvement anticipated
thisisanumber to thisisanumber improvement anticipated ba
to thisisanumber improvement anticipated ba chairman
thisisanumber improvement anticipated ba chairman martin
ba had previously forecast a thisisanumber
had previously forecast a thisisanumber to
previously forecast a thisisanumber to thisisanumber
forecast a thisisanumber to thisisanumber rise
a thisisanumber to thisisanumber rise in
it also reported on friday that
also reported on friday that passenger
reported on friday that passenger numbers
on friday that passenger numbers rose
friday that passenger numbers rose thisisanumber
aviation analyst nick van den brul
analyst nick van den brul of
nick van den brul of bnp
van den brul of bnp paribas
den brul of bnp paribas described
brul of bnp paribas described bas
of bnp paribas described bas latest
bnp paribas described bas latest quarterly
paribas described bas latest quarterly results
described bas latest quarterly results as
it is quite good on the
is quite good on the revenue
quite good on the revenue side
good on the revenue side and
on the revenue side and it
the revenue side and it shows
revenue side and it shows the
side and it shows the impact
and it shows the impact of
it shows the impact of fuel
shows the impact of fuel surcharges
the impact of fuel surcharges and
impact of fuel surcharges and a
of fuel surcharges and a positive
fuel surcharges and a positive cargo
surcharges and a positive cargo development
and a positive cargo development however
a positive cargo development however operating
positive cargo development however operating margins
cargo development however operating margins down
development however operating margins down and
however operating margins down and cost
operating margins down and cost impact
margins down and cost impact of
down and cost impact of fuel
and cost impact of fuel are
cost impact of fuel are very
impact of fuel are very strong
since the thisisanumber september thisisanumber attacks
the thisisanumber september thisisanumber attacks in
thisisanumber september thisisanumber attacks in the
september thisisanumber attacks in the united
thisisanumber attacks in the united states
attacks in the united states ba
in the united states ba has
the united states ba has cut
united states ba has cut thisisanumber
states ba has cut thisisanumber jobs
ba has cut thisisanumber jobs as
has cut thisisanumber jobs as part
cut thisisanumber jobs as part of
thisisanumber jobs as part of a
jobs as part of a major
our focus remains on reducing controllable
focus remains on reducing controllable costs
remains on reducing controllable costs and
on reducing controllable costs and debt
reducing controllable costs and debt whilst
controllable costs and debt whilst continuing
costs and debt whilst continuing to
and debt whilst continuing to invest
debt whilst continuing to invest in
whilst continuing to invest in our
continuing to invest in our products
to invest in our products mr
for example we have taken delivery
example we have taken delivery of
we have taken delivery of six
have taken delivery of six airbus
taken delivery of six airbus thisisanumber
delivery of six airbus thisisanumber aircraft
of six airbus thisisanumber aircraft and
six airbus thisisanumber aircraft and next
airbus thisisanumber aircraft and next month
thisisanumber aircraft and next month we
aircraft and next month we will
and next month we will start
next month we will start further
month we will start further improvements
we will start further improvements to
will start further improvements to our
start further improvements to our club
further improvements to our club world
improvements to our club world flat
to our club world flat beds
our club world flat beds bas
club world flat beds bas shares
world flat beds bas shares closed
flat beds bas shares closed up
beds bas shares closed up four
bas shares closed up four pence
shares closed up four pence at
shares in uk drinks and food
in uk drinks and food firm
uk drinks and food firm allied
drinks and food firm allied domecq
and food firm allied domecq have
food firm allied domecq have risen
firm allied domecq have risen on
allied domecq have risen on speculation
domecq have risen on speculation that
have risen on speculation that it
risen on speculation that it could
on speculation that it could be
speculation that it could be the
that it could be the target
it could be the target of
could be the target of a
be the target of a takeover
the target of a takeover by
target of a takeover by frances
reports in the wall street journal
in the wall street journal and
the wall street journal and the
wall street journal and the financial
street journal and the financial times
journal and the financial times suggested
and the financial times suggested that
the financial times suggested that the
financial times suggested that the french
times suggested that the french spirits
suggested that the french spirits firm
that the french spirits firm is
the french spirits firm is considering
french spirits firm is considering a
spirits firm is considering a bid
firm is considering a bid but
is considering a bid but has
considering a bid but has yet
a bid but has yet to
bid but has yet to contact
allied domecq shares in london rose
domecq shares in london rose thisisanumber
shares in london rose thisisanumber by
in london rose thisisanumber by thisisanumber
london rose thisisanumber by thisisanumber gmt
rose thisisanumber by thisisanumber gmt while
thisisanumber by thisisanumber gmt while pernod
by thisisanumber gmt while pernod shares
thisisanumber gmt while pernod shares in
gmt while pernod shares in paris
pernod said it was seeking acquisitions
said it was seeking acquisitions but
it was seeking acquisitions but refused
was seeking acquisitions but refused to
seeking acquisitions but refused to comment
pernods last major purchase was a
last major purchase was a third
major purchase was a third of
purchase was a third of us
was a third of us giant
a third of us giant seagram
third of us giant seagram in
of us giant seagram in thisisanumber
us giant seagram in thisisanumber the
giant seagram in thisisanumber the move
seagram in thisisanumber the move which
in thisisanumber the move which propelled
thisisanumber the move which propelled it
the move which propelled it into
move which propelled it into the
which propelled it into the global
propelled it into the global top
it into the global top three
into the global top three of
the other twothirds of seagram was
other twothirds of seagram was bought
twothirds of seagram was bought by
of seagram was bought by market
in terms of market value pernod
terms of market value pernod at
of market value pernod at thisisanumber
market value pernod at thisisanumber euros
value pernod at thisisanumber euros thisisanumber
pernod at thisisanumber euros thisisanumber is
at thisisanumber euros thisisanumber is about
thisisanumber euros thisisanumber is about thisisanumber
euros thisisanumber is about thisisanumber smaller
thisisanumber is about thisisanumber smaller than
is about thisisanumber smaller than allied
about thisisanumber smaller than allied domecq
thisisanumber smaller than allied domecq which
smaller than allied domecq which has
than allied domecq which has a
allied domecq which has a capitalisation
domecq which has a capitalisation of
which has a capitalisation of thisisanumber
has a capitalisation of thisisanumber thisisanumber
last year pernod tried to buy
year pernod tried to buy glenmorangie
pernod tried to buy glenmorangie one
tried to buy glenmorangie one of
to buy glenmorangie one of scotlands
buy glenmorangie one of scotlands premier
glenmorangie one of scotlands premier whisky
one of scotlands premier whisky firms
of scotlands premier whisky firms but
scotlands premier whisky firms but lost
premier whisky firms but lost out
whisky firms but lost out to
firms but lost out to luxury
but lost out to luxury goods
pernod is home to brands including
is home to brands including chivas
home to brands including chivas regal
to brands including chivas regal scotch
brands including chivas regal scotch whisky
including chivas regal scotch whisky havana
chivas regal scotch whisky havana club
regal scotch whisky havana club rum
scotch whisky havana club rum and
whisky havana club rum and jacobs
allied domecqs big names include malibu
domecqs big names include malibu rum
big names include malibu rum courvoisier
names include malibu rum courvoisier brandy
include malibu rum courvoisier brandy stolichnaya
malibu rum courvoisier brandy stolichnaya vodka
rum courvoisier brandy stolichnaya vodka and
courvoisier brandy stolichnaya vodka and ballantines
brandy stolichnaya vodka and ballantines whisky
stolichnaya vodka and ballantines whisky as
vodka and ballantines whisky as well
and ballantines whisky as well as
ballantines whisky as well as snack
whisky as well as snack food
as well as snack food chains
well as snack food chains such
as snack food chains such as
